,sentence_file,sentence,idiomatic_part,ip_start,ip_length,tags
16,sentence_1020.txt,"You need the help I can give you because if you unknowingly make a false move or fail to react promptly because you're not sure what to do, your daughter will be dispensed with as being too risky a property.",false move,67,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,sentence_1021.txt,"But now, in her present jittery, restless mood, it seemed fraught with danger.",fraught with danger,58,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
18,sentence_1022.txt,Government can hang on to its defence of corporal punishment only by a hair 's breadth.,by a hair 's breadth,66,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
19,sentence_1024.txt,"But here and there some found action on this very camp, and didn't live to tell the tale",live to tell the tale,67,21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
20,sentence_1026.txt,"We're on the edge of what we call a no go area, if we try to sail any closer to the wind the boat will come upright, the sail will flap and we'll slow down and stop and so the best we can make either side of the no go area is known as a beat.",no go area,36,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,sentence_1026.txt,"We're on the edge of what we call a no go area, if we try to sail any closer to the wind the boat will come upright, the sail will flap and we'll slow down and stop and so the best we can make either side of the no go area is known as a beat.",no go area,212,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,sentence_1027.txt,"Still, I admit he seems to be able to keep out of harm 's way.",out of harm 's way,43,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
23,sentence_1028.txt,A sudden reckless urge to play with fire made her deliberately provoke him.,play with fire,26,14,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
24,sentence_103.txt,That's what'd stick in my throat.,stick in my throat,14,18,"[0, 0, 1, 1, 1, 1]"
25,sentence_1030.txt,"If you believe in a drogue, or sea-anchor, up-hook, scratch-in, and rig one, then ride it out and ride with it and tell me when you sight London Bridge.",ride it out,82,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,sentence_1031.txt,We know employees are being blackmailed with their jobs to risk life and limb so employers can make a fat profit at our expense.,risk life and limb,59,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,sentence_1032.txt,"Sharpe, his message in safe hands, was free to return and watch the French.",in safe hands,20,13,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
28,sentence_1033.txt,So it's best just to be er on the safe side.,on the safe side,27,16,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
29,sentence_1034.txt,"The first type had power, and safety in numbers.",safety in numbers,30,17,"[0, 0, 0, 0, 0, 0, 1, 1, 1]"
30,sentence_1035.txt,Russia and Ukraine sail close to the wind on Black Sea fleet.,sail close to the wind,19,22,"[0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
31,sentence_1037.txt,It's her small child who is at stake.,at stake,28,8,"[0, 0, 0, 0, 0, 0, 1, 1]"
32,sentence_1038.txt,Now if he'd just take cover and place some well-aimed bursts with his blaster.,take cover,17,10,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
33,sentence_1040.txt,Watch your step.,Watch your step,0,15,"[1, 1, 1]"
34,sentence_1042.txt,Possibly his mother had fallen asleep at the wheel.,asleep at the wheel,31,19,"[0, 0, 0, 0, 0, 1, 1, 1, 1]"
35,sentence_1044.txt,Forty winks.,Forty winks,0,11,"[1, 1]"
36,sentence_1046.txt,Then the two cups of decaff before you hit the sack.,hit the sack,39,12,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
37,sentence_1047.txt,"The Seychelles lie in the middle of the Indian Ocean, just a few degrees south of the equator.",lie in,15,6,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,sentence_1048.txt,She returned to bed and went out like a light.,out like a light,29,16,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
39,sentence_1049.txt,"But tonight they were ready to drop, must sleep.",ready to drop,22,13,"[0, 0, 0, 0, 1, 1, 1, 0, 0]"
40,sentence_1050.txt,Your mother used to sleep like a log.,sleep like a log,20,16,"[0, 0, 0, 0, 1, 1, 1, 1]"
41,sentence_1051.txt,"Ye gods, even when he is awake all he ever says is let's sleep on it.",sleep on it,57,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
42,sentence_1052.txt,I did not sleep a wink last night for worrying about you and if you are alright.,sleep a wink,10,12,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,sentence_1054.txt,"Do you make love with your business partner and, to prove I still have my humour, is he your sleeping partner?",sleeping partner,93,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
44,sentence_1059.txt,Back to square one again Shel.,Back to square one,0,18,"[1, 1, 1, 1, 0, 0]"
45,sentence_1060.txt,There now let's put this in the bag.,in the bag,25,10,"[0, 0, 0, 0, 0, 1, 1, 1]"
46,sentence_1061.txt,"And if you ever have word for me that may bear fruit, come and ask entry to me wherever I am.",bear fruit,42,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,sentence_1062.txt,The Dalek Killer's led us up a blind alley.,up a blind alley,26,16,"[0, 0, 0, 0, 0, 1, 1, 1, 1]"
48,sentence_1063.txt,"The best-selling sexually explicit blockbuster phenomenon is to do with money, nothing to do with literature.",blockbuster,35,11,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,sentence_1065.txt,In similar fashion the bottom fell out of the illustrious 1817 sovereign market in the mid-1970s when investors realised that they were paying 50 per cent over the melt price for a coin minted in millions.,bottom fell out,23,15,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,sentence_1066.txt,Plant says the act'll bring the house down.,bring the house down,22,20,"[0, 0, 0, 0, 1, 1, 1, 1]"
51,sentence_107.txt,"Because I like you, Breeze, and it makes my blood boil to think of you slaving away as you do.",makes my blood boil,35,19,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,sentence_1071.txt,He looked like the petrol-soaked wreck of a swan come to grief in a polluted river.,come to grief,49,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
53,sentence_1072.txt,From what I've heard he's come up in the world since he went to work for Christian Timms.,come up in the world,26,20,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
54,sentence_1076.txt,Two goals from Wayne Biggins kept Stoke on course for the Third Division title with a 3-0 home win over Darlington.,on course for,40,13,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,sentence_1077.txt,It all but sunk Pompey and put United on the crest of the wave.,crest of the wave,45,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
56,sentence_1078.txt,"Cut your losses, Woolley.",Cut your losses,0,15,"[1, 1, 1, 0]"
57,sentence_108.txt,"An eighteen year old married an eighty one year old, now that is going too far.",going too far,65,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
58,sentence_1080.txt,"And talking of police, it's a dead cert that the very day a Neighbourhood Watch leaflet arrives, detailing all the recent burglaries.",dead cert,30,9,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,sentence_1081.txt,"As theories go, that's a dead duck.",dead duck,25,9,"[0, 0, 0, 0, 0, 1, 1]"
60,sentence_1082.txt,"She's dead in the water, and out of range of our conventional rescue forces.",dead in the water,6,17,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,sentence_1083.txt,"Draper says, the dice are loaded against the parents.",dice are loaded,17,15,"[0, 0, 0, 1, 1, 1, 0, 0, 0]"
62,sentence_1085.txt,It's all downhill from now on.,all downhill,5,12,"[0, 1, 1, 0, 0, 0]"
63,sentence_1086.txt,Two graduates of Manchester University draw a blank at the job centre.,draw a blank,39,12,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
64,sentence_1089.txt,And fall flat on your face?',fall flat,4,9,"[0, 1, 1, 0, 0, 0]"
65,sentence_109.txt,Well you'll take the biscuit out of the Wednesday thing won't you?,take the biscuit,12,16,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
66,sentence_1090.txt,There is no connection between it and my son's fall from grace as I'm sure you will understand.,fall from grace,47,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
67,sentence_1095.txt,"I don't, I think it was just a flash in the pan.",flash in the pan,31,16,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
68,sentence_1097.txt,And she passed with flying colours,with flying colours,15,19,"[0, 0, 0, 1, 1, 1]"
69,sentence_1098.txt,"Oxford University's Matthew Syed has got off to a flying start in the Olympic Qualifying tournament in Italy, winning both his opening matches.",flying start,50,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,sentence_1099.txt,"One was that, since she was on a fool 's errand anyway, she wasn't going to dress up for it.",fool 's errand,33,14,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,sentence_110.txt,Surrealism was definitely the last straw.,the last straw,26,14,"[0, 0, 0, 1, 1, 1]"
72,sentence_1100.txt,But the French auction house has evidently decided to keep its foot in the door of this potentially lucrative market.,foot in the door,63,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
73,sentence_1101.txt,"This month, try to get a foothold on freedom.",get a foothold,19,14,"[0, 0, 0, 0, 1, 1, 1, 0, 0]"
74,sentence_1102.txt,But I'll tell you who Evans has elected front runner.,front runner,40,12,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
75,sentence_1103.txt,"However, if you think your anger is going to get the better of you, then you'd better be realistic and responsible.",get the better of you,45,21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
76,sentence_1104.txt,"When master-manufacturers talked of the danger of communism which lurked behind any limitation of the absolute right of employers to hire and fire at will, they meant not social revolution but merely that the right of property and the right of domination were indistinguishable, and a bourgeois society must go to the dogs once interference with property rights was permitted.",go to the dogs,308,14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
77,sentence_1107.txt,Oh go up in smoke,go up in smoke,3,14,"[0, 1, 1, 1, 1]"
78,sentence_1108.txt,You've got it made if only you'd realise it.,got it made,7,11,"[0, 1, 1, 1, 0, 0, 0, 0, 0]"
79,sentence_111.txt,"He was just about to throw a wobbly, surely the sales department should be dealing with this.",throw a wobbly,21,14,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,sentence_1110.txt,"The animal was tethered in the byre, its hugely muscled body down on its knees like a sacred beast from Indian mythology.",on its knees,66,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
81,sentence_1111.txt,President-elect Clinton takes office in January after a landslide victory over Bush earlier this month.,landslide victory,56,17,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
82,sentence_1113.txt,The young members section has come on in leaps and bounds in the last few years.,leaps and bounds,41,16,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
83,sentence_1115.txt,She'd live to fight another day.,live to fight another day,6,25,"[0, 1, 1, 1, 1, 1]"
84,sentence_1116.txt,It sounds like the Fire Service has come a long way from the early years.,come a long way,36,15,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]"
85,sentence_1117.txt,The insurance business cycle is also at a low ebb.,at a low ebb,37,12,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
86,sentence_1118.txt,I'm not fighting anybody just because they've decided to make a comeback.,make a comeback,57,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
87,sentence_1119.txt,"At this point, technique becomes personal preference, you can either make the cut in the stock first and then prepare the bud for insertion.",make the cut,69,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
88,sentence_1120.txt,She was determined to make a go of this new house,make a go of,22,12,"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]"
89,sentence_1121.txt,"To put that off, she needed to make headway that would be noticed in the real world.",make headway,31,12,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
90,sentence_1122.txt,"With six shoes under 37, Diadora is likely to make inroads into the budget end of the market.",make inroads,46,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
91,sentence_1123.txt,"They're a safe investment, but in love you can make a killing overnight.",make a killing,47,14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]"
92,sentence_1124.txt,This was make or break.,make or break,9,13,"[0, 0, 1, 1, 1]"
93,sentence_1127.txt,"That, she thought, will be the moment of truth.",moment of truth,31,15,"[0, 0, 0, 0, 0, 0, 1, 1, 1]"
94,sentence_1129.txt,Twenty years of police service had convinced him that Murphy 's law applied especially to police operations,Murphy 's law,54,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
95,sentence_113.txt,I know you are too stupid to understand this but I will talk slowly and loudly and hope that you won't try my patience too far.,try my patience,103,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
96,sentence_1130.txt,We're not you know we're not getting anywhere.,not getting anywhere,25,20,"[0, 0, 0, 0, 0, 1, 1, 1]"
97,sentence_1131.txt,Nothing succeeds like success and it applies perfectly to the Sainsbury family,Nothing succeeds like success,0,29,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
98,sentence_1133.txt,"For a moment, she was looking directly out of the picture.",out of the picture,39,18,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
99,sentence_1134.txt,It is only through my imaginative shuffling of the aces that we are able to stay ahead of the pack.,ahead of the pack,81,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
100,sentence_1135.txt,Well pack it in both of you.,pack it in,5,10,"[0, 1, 1, 1, 0, 0, 0]"
101,sentence_1136.txt,Do I pass muster?,pass muster,5,11,"[0, 0, 1, 1]"
102,sentence_1138.txt,Californians are outsiders over half have travelled thousands of miles for a place in the sun.,place in the sun,77,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
103,sentence_1139.txt,"But tomorrow never happens and, worse, the wife does the one thing absolutely guaranteed to put the kibosh on the whole matter.",put the kibosh on,92,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]"
104,sentence_114.txt,Obviously you're annoyed about that letter you received - but that doesn't give you the right to vent your spleen on me.,vent your spleen,97,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
105,sentence_1140.txt,"Inflation seemed like a pyrrhic victory, almost a tease.",pyrrhic victory,24,15,"[0, 0, 0, 0, 1, 1, 0, 0, 0]"
106,sentence_1141.txt,A proper rags to riches saga.,rags to riches,9,14,"[0, 0, 1, 1, 1, 0]"
107,sentence_1142.txt,I opened my eyes to the sun riding high over Fair Hill.,riding high,28,11,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
108,sentence_1143.txt,I'm sure your spirits will rise to the occasion.,rise to the occasion,27,20,"[0, 0, 0, 0, 0, 1, 1, 1, 1]"
109,sentence_1144.txt,Not only does it meet his own policy expectations but it does so in language supplied by Mr Greenspan in congressional testimony which would allow Mr Greenspan to run rings around his Administration critics.,run rings around,163,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
110,sentence_1145.txt,"She grabbed Steve's sleeve, their eyes in unison watched the ball sail through the air and high over the net.",sail through,66,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
111,sentence_1146.txt,Fraser Digby was trying to save the day when he gave away a penalty,save the day,27,12,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
112,sentence_1147.txt,We sink or swim together.,sink or swim,3,12,"[0, 1, 1, 1, 0]"
113,sentence_1148.txt,"You know, sky 's the limit with this.",sky 's the limit,10,16,"[0, 0, 1, 1, 1, 1, 0, 0]"
114,sentence_1149.txt,The video for the smash hit Walking On Broken Glass.,smash hit,18,9,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
115,sentence_1152.txt,"As the season draws to a thrilling climax, with Swansea and Llanelli both bearing down on a possible league and cup double, Pontypridd and Newport get their chance to throw a spanner in the works at the Bank Holiday back-to-back Schweppes Cup semi-finals at the Cardiff Arms Park.",throw a spanner in the works,167,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
116,sentence_1153.txt,I don't think they will throw in the towel as they did against Pontypool last year.,throw in the towel,24,18,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
117,sentence_1154.txt,"He was like that, always had to be top dog.",top dog,35,7,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
118,sentence_1155.txt,The newly-married couple on the up and up.,on the up and up,25,16,"[0, 0, 0, 1, 1, 1, 1, 1]"
119,sentence_1156.txt,Little big man shows his stature Ian Ridley watches the champion weather the storm with mixture of shots to mount a spirited defence,weather the storm,65,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
120,sentence_1157.txt,Win-win describes one of three possible outcomes from a transaction between people.,Win-win,0,7,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
121,sentence_1158.txt,"In the spring of 1956 both London and Washington decided that all they could do for the moment was to allow the Aswan offer to "" wither on the vine "".",wither on the vine,129,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
122,sentence_1159.txt,"He used a wooden spoon to stir the mixture, whistling softly.",wooden spoon,10,12,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
123,sentence_1162.txt,I hope she doesn't throw the empty glass out into the void to follow its contents; pity the hapless passer-by under that little bolt from the blue.,bolt from the blue,128,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
124,sentence_1163.txt,Then I got a phone call out of the blue from Mandy the next morning.,out of the blue,24,15,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
125,sentence_1168.txt,Mrs Friar's jaw dropped.,jaw dropped,12,11,"[0, 0, 1, 1]"
126,sentence_1169.txt,"Good God, he thought, I should like to do something that would really make her jump out of her skin for once.",jump out of her skin,79,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]"
127,sentence_117.txt,Yanto waited for a reply to his offer with bated breath.,bated breath,43,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
128,sentence_1170.txt,"It won't knock your socks off, but any new species of parrot is pretty exciting.",knock your socks off,9,20,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
129,sentence_1172.txt,"But they were some well on, lo and behold, could open the door two or three minutes late.",lo and behold,28,13,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
130,sentence_1174.txt,"Indeed, there is a tint of punk rock as in a couple of places and this will raise eyebrows vocalist Billy Nicholson sounds like the dreaded John Lydon.",raise eyebrows,76,14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
131,sentence_1175.txt,"John was standing rooted to the spot, his expression stony.",rooted to the spot,18,18,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]"
132,sentence_1176.txt,"If you're still not convinced, seeing is believing.",seeing is believing,31,19,"[0, 0, 0, 0, 0, 1, 1, 1]"
133,sentence_1177.txt,"Manville stopped dead in his tracks, whirling to confront the guard.",stopped dead in his tracks,9,26,"[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
134,sentence_1178.txt,"What he actually wanted to say was, I'm struck dumb with love.",struck dumb,40,11,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
135,sentence_1181.txt,"I can't believe it, wonders will never cease.",wonders will never cease,20,24,"[0, 0, 0, 0, 1, 1, 1, 1]"
136,sentence_1182.txt,"And as for you, Fiona, words fail me.",words fail me,23,13,"[0, 0, 0, 0, 0, 1, 1, 1]"
