,candidate,words,tags,tags_fixed
10,keep [pron] eye on,"Much of the owner-occupation sector represents a recent addition to national wealth ; from 26.6 per cent in 1957 to 36.5 per cent of all wealth by 1985 — a 37 per cent increase in thirty years ( Sam Brittan , ‘ Keeping an eye on the national wealth ’ , Financial Times , 16 July 1987 ) , and this wealth has been much more equitably spread than has industrial wealth .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,keep body and soul together,"She came to see me a year later , total loss of weight , total short of breath , hardly , she 's struggling to keep body and soul together .",O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]"
12,keep body and soul together,"Struggling peasants they 'd be for the most part , trying to keep body and soul together in difficult times .",O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
13,keep body and soul together,"I will take some Bovril up for 'er too , and some sausage rolls , we all 'ave to keep body an' soul together .",O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]"
14,keep body and soul together,"Their education , he said , was irrelevant to their duties , their poverty such that they had to spend most of their time keeping body and soul together .",O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]"
15,keep [pron] eye open,"Nails , getting the taste of it , stopped being terrified and began to keep his eyes open long enough to judge the thoroughbred 's stride as he approached a jump and to know when he was going to stand off and when he was going to put a quick one in .",O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,keep [pron] eye open,"I felt a sense of achievement , but vertigo too , and sat on a great red dais in the middle of the gallery and tried to keep my eyes open .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
17,keep [pron] eye open,"Keep her eyes open , that 's all I said , no harm in that , is it ?",B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,keep [pron] eye open,"Two new books , Quotable Sex and Quotable Women by Carole McKenzie ( Mainstream , £7.99 ) , both have hundreds of incisive comments from the quick brains of the famous and little-known : ‘ Men should keep their eyes wide open before marriage , and half-shut afterwards ’ — Madeleine de Scudery ( 1607–1701 ) French author .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,keep [pron] eye open,"You keep your eyes open , see if you can see her .",O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
20,keep [pron] eye open,"Keep your eyes open for a Window drawing program called Visio from US company , Shapeware .",B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,keep [pron] eye open,If she kept her eyes open the car very often failed to start .,O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
22,keep [pron] eye open,"The fumes from the coke had the effect of making us dopy , so that it was even more difficult to keep our eyes open .",O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
23,keep [pron] eye open,I have kept my eyes open when we 're going through Harford,O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
24,keep [pron] eye open,"Assuming the car had gone missing at the same ti me as Angela Morgan , it might have been there for over a week ; it had only been found that evening by a uniformed constable who was keeping his eyes open .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
25,keep [pron] eye open,"It was cold , so cold in the jeep that it was with difficulty that Alexei kept his eyes open .",O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
26,keep [pron] eye open,H. P. You had to go round keeping your eyes open for various things .,O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]"
27,keep [pron] eye open,I 'm still concerned and hope the public will still keep their eyes open,O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
28,keep [pron] eye open,"Gareth Holmroyd , Ted Hurwitz , Mike Sparrow , Ralph Absalom — they were all keeping their eyes open for a house for him .",O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
29,keep [pron] eye open,"I tell you , Lou , it might be a good idea to get her to go there sometimes , keep her eyes open .",O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
30,keep [pron] eye open,"Do not forget that THERE IS NO CUT BACK IN THE NUMBER OF PEOPLE WANTING A CLASS but future methods of provision may be varied and unfamiliar , we need to be adaptable and keep our eyes wide open to take advantage of every opportunity .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
31,keep [pron] eye open,"And the point is that wherever you go you tend to keep your eye open and not wait for something to crop up ; you do tend to say ‘ 'Ello , ‘ ello , ‘ ello , What 's this ?",O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,keep [pron] eye open,"They kept their eyes wide open so tears evaporated more easily and dry eyes can be a reason why people using computers complain of eye strain , the researchers said .",O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O,"[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,keep [pron] eye open,"You 're a man who keeps his eyes open , a man aware of things .",O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
34,keep [pron] eye open,Keeping my eyes open for that sort of thing .,B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
35,keep [pron] eye open,"The Little Bee thinks of others , keeps her eyes open , tells the truth and helps cheerfully .",O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
36,keep [pron] eye open,Anaesthetic is dropped into her eye and lid guards are used to keep her eyes wide open .,O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]"
37,keep [pron] eye open,"They kept their eyes open , to see into one another 's hearts .",O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,keep [pron] eyes peeled,"Keep your eyes peeled for bandits , there might be a few up tonight . ’",B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,keep [pron] eyes peeled,"As well as keeping their eyes peeled for surface coins and jewellery , beachcombers also look for non-metal items on their foreshore hunting grounds .",O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,keep [pron] eyes peeled,""" My overseers keep their eyes peeled here , I can tell you .",O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
41,keep [pron] eyes peeled,He had kept his eyes peeled .,O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 0, 1, 1, 1, 1, 0]"
42,keep [pron] eyes peeled,So keep your eyes peeled !,O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 1, 1, 1, 1, 0]"
43,keep [pron] eyes peeled,"The village was in complete wilderness , our toilet a local bush — keeping our eyes peeled for lions !",O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]"
44,keep tabs on,"Given the difficulties of keeping tabs on such faraway players , it comes as no surprise to learn that Bilardo has appealed to one of the key figures of his 1986 World Cup team , the 34-year-old Jorge Valdano , to come out of his two-year retirement .",O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,keep tabs on,"Paul Allen 's 21st-minute winner was the only entry on my score card , but the chaps from the WBC keeping tabs on Nigel Benn and Nicky Piper down the road at Ally Pally would have had a much busier afternoon .",O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,keep tabs on,"And do not forget , even though I will be thousands of miles away , I will be keeping tabs on you . ’",O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
47,keep tabs on,"For the untrained , keeping tabs on this type of equipment , both technically and administratively , can be difficult , but Powersafe has been set up specifically to manage the inspection and testing of electrical installations and equipment used in industry , commerce and public utilities .",O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,keep tabs on,He has asked the Association of Chief police Officers to keep tabs on the proliferation of the devices .,O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
49,keep tabs on,They track every piece of hardware we got up there … just as we keep tabs on theirs . ’,O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
50,keep tabs on,They liked to keep tabs on you even then .,O O O B-IDIOM I-IDIOM I-IDIOM O O O O,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
51,keep tabs on,"At least , this human being loyally follows me around the place , keeps tabs on me and rings me up the whole time .",O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,keep tabs on,He was a marked man and US Intelligence kept tabs on his every move determined to avenge Pearl Harbor .,O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,keep tabs on,Keeping tabs on the motor trade,B-IDIOM I-IDIOM I-IDIOM O O O,"[1, 1, 1, 0, 0, 0]"
54,keep [pron] wolf from [pron] door,"It keeps the wolf from the door , that 's all . ’",O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O,"[0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
55,keep [pron] wolf from [pron] door,"If a member of , say , the Hohenzollerns decided to keep the wolf from the door by taking up this particular trade , then royal here clearly would be true of the hatmaker ; i.e. the property ROYAL would apply to the E present to the mind of the speaker describing such an individual .",O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,keep [pron] wolf from [pron] door,Just to keep the wolf from the door .,O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 0, 1, 1, 1, 1, 1, 1, 0]"
57,keep [pron] wolf from [pron] door,It kept the wolves from the door . ’,O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O,"[0, 1, 1, 1, 1, 1, 1, 0, 0]"
58,keep [pron] wolf from [pron] door,But it was worth it to keep the wolves from the door .,O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
59,keep [pron] wolf from [pron] door,"That kept the wolf from the door for a little while , I think .",O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O,"[0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
60,keep [pron] wolf from [pron] door,But now the baron — family motto ‘ Man is as a wolf to his fellow man ’ — must concentrate on keeping the wolf from the door .,O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
61,keep [pron] wolf from [pron] door,Vivien Duffield keeps the wolves from the door — this year,O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O,"[0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
62,keep [pron] head above water,"I 'm in hot water over various things — nothing important enough to bore you with , but I know the director wants shot of me — he 's said as much and I 'm sure my days are numbered ; I feel like I 'm struggling to keep my head above water — Oh , I knew this particular pool was going to be deep , but he 's there waiting just above the surface to shove me under , finding some half-baked reason to be rid of me .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
63,keep [pron] head above water,But it has made us more productive and more of a team — we all have to co-operate and pull together just to keep our heads above water . ’,O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]"
64,keep [pron] head above water,"It seemed terribly wrong that her family were still struggling even now to keep their heads above water , that many like them were close to starvation , when the clothes she , Alice , was wearing would have kept them in food for at least half a year .",O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,keep [pron] head above water,"We have been to one town where many have closed down , and others are struggling to keep their heads above water …",O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]"
66,keep [pron] head above water,"We all do , really , and we 're keeping our heads above water most beautifully .",O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0]"
67,keep [pron] head above water,Keeping your head above water is half the secret in sport and young Karen Rake seems to be made of the right stuff .,B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,keep [pron] head above water,"The result is that all Home Secretaries are grossly over-worked , although most will have found their own ways of keeping their heads above water .",O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]"
69,keep [pron] head above water,‘ You just have to try to keep your head above water .,O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]"
70,keep [pron] head above water,"Coun Bergg , we are happy to report , is alive and well and keeping his head above water .",O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]"
71,keep [pron] head above water,"Detroit is shabby , poverty-ridden and struggling to keep its head above water It has a huge crime problem .",O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
72,keep [pron] head above water,"She was aware that these could be developed by investigative work , but once she became immersed in the new curriculum , struggling on occasions to keep her head above water , she began to lose sight of these objectives , focusing instead on the more familiar content objectives .",O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
73,keep [pron] head above water,It is good to see that the railway is keeping its head above water .,O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]"
74,keep [pron] head above water,‘ They helped him many a time to keep his head above water or else we should have been in a poor way . ’,O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
